id,username,tweet
1306079987347324928,Luv2paint53, @EyesOnQ Money &amp; Power can’t save his soul . He lived his life for fame &amp; fortune. The divine appointment has taken place. His human condition is death and more than l would know .  But based on his life’s work he’s headed to eternal darkness .
1306079988198891521,AgusHH26, @LuisLacallePou cómo andas presi  parece que tus invitaciones andan funcionando en la Argentina y todavía Albert te ayuda.. vas a tener que poner money para la infraestructura en edificios y casas  avisale a la ministra de vivienda.
1306079989050245120,Jjoep1, @lilthroatgoat give me 8 years  I’ll join the army  get enough money  and then move to Cali
1306079988626661377,AHIinfo, Last chance to register! Having Money Conversations &amp; Influencing Without Authority Virtual Workshops - https://t.co/k5WPDqu4HE https://t.co/iouVAsTIT3
1306079989973032964,sadiorradio, T Pain ft Chris Brown - Wake Up Dead (AAsH Money Remix)
